,day,idx,omit,reward_zone_end,reward_zone_start,swap_type,swap_zone_end,swap_zone_start,trial,trial_type,animal,hdb_labels,HMM_label
0,3,GCAMP11_3_0,False,250,200,swap_proximal,130.0,80.0,0,pre_swap,GCAMP11,52,6
1,3,GCAMP11_3_1,True,250,200,swap_proximal,130.0,80.0,1,pre_swap,GCAMP11,36,6
2,3,GCAMP11_3_2,False,250,200,swap_proximal,130.0,80.0,2,pre_swap,GCAMP11,81,4
3,3,GCAMP11_3_3,False,250,200,swap_proximal,130.0,80.0,3,pre_swap,GCAMP11,18,4
4,3,GCAMP11_3_4,False,250,200,swap_proximal,130.0,80.0,4,pre_swap,GCAMP11,4,4
5,3,GCAMP11_3_5,False,250,200,swap_proximal,130.0,80.0,5,pre_swap,GCAMP11,6,9
6,3,GCAMP11_3_6,True,250,200,swap_proximal,130.0,80.0,6,pre_swap,GCAMP11,1,2
7,3,GCAMP11_3_7,False,250,200,swap_proximal,130.0,80.0,7,pre_swap,GCAMP11,-1,4
8,3,GCAMP11_3_8,False,250,200,swap_proximal,130.0,80.0,8,pre_swap,GCAMP11,81,4
9,3,GCAMP11_3_9,True,250,200,swap_proximal,130.0,80.0,9,pre_swap,GCAMP11,96,2
10,3,GCAMP11_3_10,False,250,200,swap_proximal,130.0,80.0,10,pre_swap,GCAMP11,12,2
11,3,GCAMP11_3_11,False,250,200,swap_proximal,130.0,80.0,11,pre_swap,GCAMP11,58,4
12,3,GCAMP11_3_12,False,250,200,swap_proximal,130.0,80.0,12,pre_swap,GCAMP11,81,4
13,3,GCAMP11_3_13,False,250,200,swap_proximal,130.0,80.0,13,pre_swap,GCAMP11,81,4
14,3,GCAMP11_3_14,False,250,200,swap_proximal,130.0,80.0,14,pre_swap,GCAMP11,66,2
15,3,GCAMP11_3_15,False,250,200,swap_proximal,130.0,80.0,15,pre_swap,GCAMP11,61,4
16,3,GCAMP11_3_16,False,250,200,swap_proximal,130.0,80.0,16,pre_swap,GCAMP11,-1,4
17,3,GCAMP11_3_17,False,250,200,swap_proximal,130.0,80.0,17,pre_swap,GCAMP11,6,4
18,3,GCAMP11_3_18,False,250,200,swap_proximal,130.0,80.0,18,pre_swap,GCAMP11,58,4
19,3,GCAMP11_3_19,False,250,200,swap_proximal,130.0,80.0,19,pre_swap,GCAMP11,81,4
20,3,GCAMP11_3_20,False,250,200,swap_proximal,130.0,80.0,20,pre_swap,GCAMP11,58,4
21,3,GCAMP11_3_21,False,250,200,swap_proximal,130.0,80.0,21,pre_swap,GCAMP11,81,4
22,3,GCAMP11_3_22,False,250,200,swap_proximal,130.0,80.0,22,pre_swap,GCAMP11,6,4
23,3,GCAMP11_3_23,False,250,200,swap_proximal,130.0,80.0,23,pre_swap,GCAMP11,-1,6
24,3,GCAMP11_3_24,True,250,200,swap_proximal,130.0,80.0,24,pre_swap,GCAMP11,91,2
25,3,GCAMP11_3_25,False,250,200,swap_proximal,130.0,80.0,25,pre_swap,GCAMP11,12,2
26,3,GCAMP11_3_26,False,250,200,swap_proximal,130.0,80.0,26,pre_swap,GCAMP11,81,4
27,3,GCAMP11_3_27,False,250,200,swap_proximal,130.0,80.0,27,pre_swap,GCAMP11,81,4
28,3,GCAMP11_3_28,False,250,200,swap_proximal,130.0,80.0,28,pre_swap,GCAMP11,81,4
29,3,GCAMP11_3_29,False,250,200,swap_proximal,130.0,80.0,29,pre_swap,GCAMP11,81,4
30,3,GCAMP11_3_30,False,130,80,swap_proximal,250.0,200.0,30,post_swap,GCAMP11,9,4
31,3,GCAMP11_3_31,False,130,80,swap_proximal,250.0,200.0,31,post_swap,GCAMP11,9,4
32,3,GCAMP11_3_32,False,130,80,swap_proximal,250.0,200.0,32,post_swap,GCAMP11,35,3
33,3,GCAMP11_3_33,False,130,80,swap_proximal,250.0,200.0,33,post_swap,GCAMP11,40,3
34,3,GCAMP11_3_34,False,130,80,swap_proximal,250.0,200.0,34,post_swap,GCAMP11,72,7
35,3,GCAMP11_3_35,False,130,80,swap_proximal,250.0,200.0,35,post_swap,GCAMP11,48,8
36,3,GCAMP11_3_36,False,130,80,swap_proximal,250.0,200.0,36,post_swap,GCAMP11,53,1
37,3,GCAMP11_3_37,False,130,80,swap_proximal,250.0,200.0,37,post_swap,GCAMP11,64,1
38,3,GCAMP11_3_38,False,130,80,swap_proximal,250.0,200.0,38,post_swap,GCAMP11,39,3
39,3,GCAMP11_3_39,False,130,80,swap_proximal,250.0,200.0,39,post_swap,GCAMP11,47,1
40,3,GCAMP11_3_40,False,130,80,swap_proximal,250.0,200.0,40,post_swap,GCAMP11,40,7
41,3,GCAMP11_3_41,False,130,80,swap_proximal,250.0,200.0,41,post_swap,GCAMP11,77,3
42,3,GCAMP11_3_42,False,130,80,swap_proximal,250.0,200.0,42,post_swap,GCAMP11,27,3
43,3,GCAMP11_3_43,True,130,80,swap_proximal,250.0,200.0,43,post_swap,GCAMP11,83,9
44,3,GCAMP11_3_44,False,130,80,swap_proximal,250.0,200.0,44,post_swap,GCAMP11,0,5
45,3,GCAMP11_3_45,False,130,80,swap_proximal,250.0,200.0,45,post_swap,GCAMP11,46,3
46,3,GCAMP11_3_46,False,130,80,swap_proximal,250.0,200.0,46,post_swap,GCAMP11,51,5
47,3,GCAMP11_3_47,False,130,80,swap_proximal,250.0,200.0,47,post_swap,GCAMP11,77,3
48,3,GCAMP11_3_48,False,130,80,swap_proximal,250.0,200.0,48,post_swap,GCAMP11,52,9
49,3,GCAMP11_3_49,False,130,80,swap_proximal,250.0,200.0,49,post_swap,GCAMP11,16,3
50,3,GCAMP11_3_50,False,130,80,swap_proximal,250.0,200.0,50,post_swap,GCAMP11,76,3
51,3,GCAMP11_3_51,False,130,80,swap_proximal,250.0,200.0,51,post_swap,GCAMP11,46,3
52,3,GCAMP11_3_52,False,130,80,swap_proximal,250.0,200.0,52,post_swap,GCAMP11,27,3
53,3,GCAMP11_3_53,False,130,80,swap_proximal,250.0,200.0,53,post_swap,GCAMP11,40,7
54,3,GCAMP11_3_54,False,130,80,swap_proximal,250.0,200.0,54,post_swap,GCAMP11,27,3
55,3,GCAMP11_3_55,False,130,80,swap_proximal,250.0,200.0,55,post_swap,GCAMP11,40,7
56,3,GCAMP11_3_56,False,130,80,swap_proximal,250.0,200.0,56,post_swap,GCAMP11,40,7
57,3,GCAMP11_3_57,False,130,80,swap_proximal,250.0,200.0,57,post_swap,GCAMP11,39,3
58,3,GCAMP11_3_58,False,130,80,swap_proximal,250.0,200.0,58,post_swap,GCAMP11,70,3
59,3,GCAMP11_3_59,False,130,80,swap_proximal,250.0,200.0,59,post_swap,GCAMP11,68,3
60,3,GCAMP11_3_60,False,130,80,swap_proximal,250.0,200.0,60,post_swap,GCAMP11,70,3
61,3,GCAMP11_3_61,False,130,80,swap_proximal,250.0,200.0,61,post_swap,GCAMP11,46,3
62,3,GCAMP11_3_62,False,130,80,swap_proximal,250.0,200.0,62,post_swap,GCAMP11,39,3
63,3,GCAMP11_3_63,False,130,80,swap_proximal,250.0,200.0,63,post_swap,GCAMP11,70,3
64,3,GCAMP11_3_64,False,130,80,swap_proximal,250.0,200.0,64,post_swap,GCAMP11,-1,3
65,3,GCAMP11_3_65,False,130,80,swap_proximal,250.0,200.0,65,post_swap,GCAMP11,46,3
66,3,GCAMP11_3_66,False,130,80,swap_proximal,250.0,200.0,66,post_swap,GCAMP11,46,3
67,3,GCAMP11_3_67,False,130,80,swap_proximal,250.0,200.0,67,post_swap,GCAMP11,40,7
68,3,GCAMP11_3_68,False,130,80,swap_proximal,250.0,200.0,68,post_swap,GCAMP11,26,4
69,3,GCAMP11_3_69,False,130,80,swap_proximal,250.0,200.0,69,post_swap,GCAMP11,46,3
70,3,GCAMP11_3_70,True,130,80,swap_proximal,250.0,200.0,70,post_swap,GCAMP11,41,1
71,3,GCAMP11_3_71,False,130,80,swap_proximal,250.0,200.0,71,post_swap,GCAMP11,13,4
72,3,GCAMP11_3_72,False,130,80,swap_proximal,250.0,200.0,72,post_swap,GCAMP11,77,3
73,3,GCAMP11_3_73,False,130,80,swap_proximal,250.0,200.0,73,post_swap,GCAMP11,70,3
74,3,GCAMP11_3_74,False,130,80,swap_proximal,250.0,200.0,74,post_swap,GCAMP11,0,3
75,3,GCAMP11_3_75,False,130,80,swap_proximal,250.0,200.0,75,post_swap,GCAMP11,0,5
76,3,GCAMP11_3_76,False,130,80,swap_proximal,250.0,200.0,76,post_swap,GCAMP11,40,7
77,3,GCAMP11_3_77,False,130,80,swap_proximal,250.0,200.0,77,post_swap,GCAMP11,77,3
78,3,GCAMP11_3_78,False,130,80,swap_proximal,250.0,200.0,78,post_swap,GCAMP11,72,7
