,idx,day,trial,reward_zone_start,reward_zone_end,swap_zone_start,swap_zone_end,trial_type,swap_type,omit,animal
0,0,3,0,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
1,1,3,1,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
2,2,3,2,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
3,3,3,3,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
4,4,3,4,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
5,5,3,5,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
6,6,3,6,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
7,7,3,7,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
8,8,3,8,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
9,9,3,9,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
10,10,3,10,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
11,11,3,11,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
12,12,3,12,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
13,13,3,13,320,370,80.0,130.0,pre_swap,swap_proximal,True,GCAMP3
14,14,3,14,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
15,15,3,15,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
16,16,3,16,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
17,17,3,17,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
18,18,3,18,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
19,19,3,19,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
20,20,3,20,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
21,21,3,21,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
22,22,3,22,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
23,23,3,23,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
24,24,3,24,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
25,25,3,25,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
26,26,3,26,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
27,27,3,27,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
28,28,3,28,320,370,80.0,130.0,pre_swap,swap_proximal,True,GCAMP3
29,29,3,29,320,370,80.0,130.0,pre_swap,swap_proximal,False,GCAMP3
30,30,3,30,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
31,31,3,31,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
32,32,3,32,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
33,33,3,33,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
34,34,3,34,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
35,35,3,35,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
36,36,3,36,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
37,37,3,37,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
38,38,3,38,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
39,39,3,39,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
40,40,3,40,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
41,41,3,41,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
42,42,3,42,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
43,43,3,43,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
44,44,3,44,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
45,45,3,45,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
46,46,3,46,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
47,47,3,47,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
48,48,3,48,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
49,49,3,49,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
50,50,3,50,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
51,51,3,51,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
52,52,3,52,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
53,53,3,53,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
54,54,3,54,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
55,55,3,55,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
56,56,3,56,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
57,57,3,57,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
58,58,3,58,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
59,59,3,59,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
60,60,3,60,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
61,61,3,61,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
62,62,3,62,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
63,63,3,63,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
64,64,3,64,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
65,65,3,65,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
66,66,3,66,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
67,67,3,67,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
68,68,3,68,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
69,69,3,69,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
70,70,3,70,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
71,71,3,71,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
72,72,3,72,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
73,73,3,73,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
74,74,3,74,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
75,75,3,75,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
76,76,3,76,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
77,77,3,77,80,130,320.0,370.0,post_swap,swap_proximal,True,GCAMP3
78,78,3,78,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
79,79,3,79,80,130,320.0,370.0,post_swap,swap_proximal,False,GCAMP3
0,80,5,0,80,130,200.0,250.0,pre_swap,swap_distal,True,GCAMP3
1,81,5,1,80,130,200.0,250.0,pre_swap,swap_distal,False,GCAMP3
2,82,5,2,80,130,200.0,250.0,pre_swap,swap_distal,False,GCAMP3
3,83,5,3,80,130,200.0,250.0,pre_swap,swap_distal,False,GCAMP3
4,84,5,4,80,130,200.0,250.0,pre_swap,swap_distal,False,GCAMP3
5,85,5,5,80,130,200.0,250.0,pre_swap,swap_distal,False,GCAMP3
6,86,5,6,80,130,200.0,250.0,pre_swap,swap_distal,False,GCAMP3
7,87,5,7,80,130,200.0,250.0,pre_swap,swap_distal,True,GCAMP3
